Size,Time(ms),Comparisons
100,1.25343,33548
200,3.52803,85820
300,5.8378,175121
400,6.16127,227311
500,9.99263,345997
600,14.5762,420843
700,14.7211,591131
800,16.1591,629426
900,18.7155,765017
1000,21.7534,912325
1100,24.0698,1017714
1200,27.6887,1175125
1300,31.5073,1276198
1400,28.4885,1413482
1500,41.1112,1701448
1600,35.4775,1792148
1700,41.3834,2074438
1800,43.9598,2186915
1900,45.9511,2271408
2000,48.5762,2431029
2100,51.1346,2574232
2200,57.5487,2891502
2300,73.5027,3234527
2400,66.8389,3284933
2500,71.3456,3605174
2600,76.7966,3737134
2700,75.0017,3773318
2800,91.9798,4368245
2900,89.5588,4406448
3000,92.3266,4528605
